Jour,Vent > 45km/h,Temperature,Humidite < 60%,Pluie
1,0,8.28750000000002,0.2,0
2,0,6.06250000000002,0,0
3,0,7.48750000000002,0,0.01
4,0.353,9.57500000000001,0,0.02
5,0,3.11250000000002,0,0
6,0,5.31250000000001,0,0
7,0,7.73750000000003,0,0
8,0,7.80000000000001,0,0.08
9,0.459,10.75,0.20375,0
10,0.375,8.33750000000002,0,0.585
11,0,5.52500000000002,0.20625,0
12,0,3.05000000000002,0,0
13,0,3.37500000000003,0,0
14,0.56,8.98750000000001,0.2175,0
15,0.483,10.7625,0.23875,0
16,0.489,9.95000000000001,0,0
17,0.387,8.90000000000001,0,0.65
18,0,5.90000000000003,0.21,0.015
19,0,5.91250000000002,0.38875,0
20,0,2.17500000000002,0.2925,0
21,0,5.73750000000003,0.23125,0
22,0,8.91250000000002,0,1
23,0.447,11.8125,0,1
24,0,10.25,0,0.02
25,0,9.50000000000002,0,0
26,0,8.10000000000001,0,0
27,0,5.66250000000002,0,0.145
28,0.396,8.63750000000002,0,0.47
29,0,9.28750000000001,0.21125,0.015
30,0,11.0875,0,0.415
31,0,12.6625,0,0.14
32,0,11.1125,0,0.44
33,0,13.85,0,0
34,0,12.8875,0.21875,0
35,0.561,10.85,0.2825,0.595
36,0,6.32500000000003,0.2625,0
37,0,5.93750000000001,0.225,0
38,0.412,9.81250000000002,0.21375,0
39,0.381,10.4375,0.20875,0
40,0,10.4,0,0
41,0.396,13.0875,0,0
42,0.453,12.0125,0,0.035
43,0,9.78750000000001,0.2225,0.18
44,0,9.7375,0.22375,0.06
45,0,10.775,0.245,0
46,0.37,9.17500000000001,0.2325,0
47,1,12.1,0,0
48,0.473,10.975,0,0.15
49,0,8.52500000000001,0.23875,0.005
50,0,8.56250000000001,0.2375,0
51,0,8.88750000000002,0.30125,0
52,0,7.88750000000001,0,0
53,0,8.00000000000001,0.20625,0
54,0,8.58750000000001,0,0
55,0,8.80000000000002,0.2025,0
56,0.517,9.98750000000002,0.2125,0
57,0.566,7.71250000000003,0,1
58,0.521,9.17500000000001,0,1
59,0,10.4,0,0.49
60,0.362,11.8,0,0.05
61,0,10.7625,0.25875,0.38
62,1,9.28750000000001,0.2225,1
63,0.413,6.23750000000002,0,1
64,0,8.36250000000002,0,1
65,0.448,10.6125,0,0.58
66,0.593,6.63750000000002,0,1
67,0.479,8.20000000000001,0.24,0.47
68,0,10.55,0.20625,0
69,0.558,9.56250000000002,0,0.87
70,0.379,11.1375,0.21625,0.08
71,0,11.775,0.20875,0
72,0,11.3125,0,0.01
73,0,10.6,0.29375,0.945
74,0,8.52500000000002,0.30375,0
75,0.533,9.67500000000001,0.2425,0
76,0.481,11.875,0,0.235
77,0,12.275,0,0.175
78,0,13.65,0.27,0
79,0.403,14.1875,1,0
80,0.516,13.225,1,0
81,0.451,12.8125,0.385,0
82,0,12.975,0.33625,0
83,0.351,12.275,0.27875,0
84,0,11.575,0.325,0
85,0.402,10.5875,1,0
86,0,6.93750000000002,0.27,0
87,0,8.3875,0.35,0
88,0,11.8125,1,0
89,0.44,10.2375,0.3425,0
90,0,4.46250000000002,0.2125,0.02
91,0,8.76250000000001,0.265,0
92,0.578,11.7375,0.33375,0
93,0,10.3,0.31875,0
94,0.379,10.725,0.4,0.04
95,0.351,11.3,1,0
96,1,14.725,1,0
97,0.521,14.425,1,0
98,0.506,15.2,1,0
99,0.414,14.8875,0.3675,0
100,0.357,15.9875,1,0
101,0.361,16.525,1,0
102,0.401,15.175,0.33125,0
103,0.361,15.05,0.3125,0.01
104,0.431,13.4125,0.265,0.16
105,0,15.45,0.33625,0.27
106,1,15.95,1,0
107,1,15.9875,0.31875,0
108,1,15.95,0.2275,0
109,0,16.8,0.24125,0
110,0,15.025,0,0.59
111,0,14.7125,0,1
112,0,14.5625,0,1
113,0,13.975,0,0.815
114,0,14.275,0,0
115,0,15.75,0.21125,0
116,0,17.8125,0.3275,0.06
117,0,16.7625,0.22875,0.1
118,0,14.55,0,0.585
119,0,13.9375,0.2075,1
120,0,15.475,0.34125,0
121,0,14.9875,0.24875,0.48
122,0,15.05,0,1
123,0.465,17.2375,0,1
124,0,19.0625,0.2675,0.27
125,0.411,20.3875,0.31,0
126,0,20.5625,0.37375,0
127,0,20.125,0.39375,0
128,0.355,19.575,0.37375,0
129,0.56,19.875,0.32875,0
130,0.569,18.2875,0.24875,0
131,0.416,16.175,0,1
132,1,13.7,0,1
133,0,11.925,0,0.06
134,0,15.1,0,0.39
135,0,14.625,0,1
136,0,15.5,0,1
137,0.381,16.1875,0.26875,0.1
138,0.488,17.3875,1,0.015
139,0.4,18.2625,1,0
140,0.493,20.05,0.3975,0
141,0,20.9,1,0
142,0,20.9125,0.32125,0
143,0,22.975,0.295,0
144,0.405,17.325,0.25875,0
145,0,16.6,0.36375,0
146,0,19.125,1,0
147,0,20.8625,1,0
148,0,21.2,0.3875,0
149,0,22.1375,1,0
150,0,22.1875,1,0
151,0.42,21.625,0.35,0
152,0.454,20.875,0.3175,0
153,0.399,20.2625,0.23875,0.025
154,0,21.9375,0.325,0.2
155,0,20.3375,0.275,0.03
156,0.508,17.1625,0.22375,0.57
157,0.539,15.55,0.205,0.875
158,0,17.125,0.20375,0.71
159,0.379,15.35,0.285,1
160,0.413,15.0625,0.25,0.14
161,0.401,14.7,0,1
162,0,16.4875,0.325,0.695
163,0,15.9125,0.21625,0.605
164,0,17.125,0.29125,1
165,0,17.1125,0.26375,1
166,0,17.675,0.305,0.17
167,0,18.775,0.3075,0.43
168,0,17.4875,0.25625,1
169,0,17.3375,0.2925,1
170,0,17.0625,0.30125,0.015
171,0,19.0875,0.38625,0
172,0,21.2,0.39375,0
173,0,21.2375,0.36375,0
174,0,21.7625,0.375,0
175,0,23.3875,1,0
176,0.471,24.5375,0.36125,0
177,0,25.3625,1,0
178,0,24.075,0.3075,0.345
179,0,23.2625,0.28125,1
180,0,23.475,0.315,0
181,0.353,20.875,0.26625,0
182,0,21.85,1,0
183,0,23.2875,0.355,0.02
184,0.398,20.35,0.28625,0
185,0.399,19.4,0.39875,0
186,0,20.4125,1,0
187,0,22.925,0.39,0
188,0.441,21.3625,0.2975,0.28
189,0,20.925,1,0
190,0,23.2375,1,0
191,0,25.9875,1,0
192,0.379,23.1625,0.3275,0
193,0,22.3375,0.36875,0
194,0,22.725,1,0
195,0.415,24.4875,1,0
196,0.431,22.05,1,0
197,0.435,19.2375,0.315,0.05
198,0,18.4625,0.2925,0.04
199,0.375,20.7125,0.34,0
200,0,23.4625,1,0
201,0,25.1875,1,0
202,0,26.4,1,0
203,0,26.65,1,0
204,0,27.5125,1,0.12
205,0.368,26.2375,0.3775,0
206,0.405,24.5375,1,0
207,0,23.225,1,0
208,0,23.3125,0.38375,0
209,0,27.7375,1,0
210,0,24.1875,0.305,0.2
211,0,26.3125,0.39,0
212,0.369,28.8625,1,0
213,0.366,29.775,1,0
214,0.446,25.1875,0.37,0
215,0.453,22.3625,0.395,0
216,0.498,21.025,1,0
217,0.421,21.6125,1,0
218,0,23.15,1,0
219,0,26.3,1,0
220,0,29.375,1,0
221,0,29.0125,1,0
222,0,29.3,1,0.48
223,0,26.9375,0.34375,1
224,0.36,27.8375,0.38,0
225,0.424,25.2625,0.3025,0.46
226,0,21.35,0.2625,0.745
227,0,23.05,0.35875,0
228,0,25.6125,1,0
229,0,22.475,0.34,0
230,0,22.3375,0.3975,0
231,0,23.1125,0.3425,0.05
232,0,26.425,1,0
233,0.581,27.85,0.355,0
234,0.376,27.25,0.3575,0
235,0.37,22.6625,0.335,0
236,0.352,22.4,1,0
237,0,22.4625,1,0
238,0,24.7,1,0
239,0,23.6875,0.315,0.035
240,0,25.3,0.39625,0
241,0,19.95,0.22125,1
242,0.356,17.6375,0.26875,0.14
243,0.462,17.35,0.285,0.16
244,0,17.8625,0.36125,0.12
245,0,18.7625,0.3925,0
246,0,19.15,1,0
247,0,20.125,1,0
248,0,22.4875,1,0
249,0.387,23.025,0.38875,0
250,0.436,20.3375,1,0
251,0.406,18.775,1,0
252,0,19.5,1,0
253,0,19.0625,0.28375,0.1
254,0,21.6125,0.2825,0.15
255,0,23.4125,0.39,0
256,0,22.7875,1,0
257,0,24.075,1,0
258,0.453,26.2875,1,0
259,0,24.6,1,0
260,0,25.6125,1,0
261,0,25.5125,1,0
262,0.498,24.575,1,0
263,0,23,0.31625,0.435
264,0,20.7125,0.2975,0.155
265,0,19.6875,0.215,0
266,0,19.1625,0,0.28
267,0,20.3375,0.265,0.065
268,0,18.9,0.26125,0.02
269,1,11.9125,0.2,1
270,0.425,11.275,0,1
271,0.484,10.6875,0,1
272,0.46,14.3375,0.27125,0.745
273,0,13.25,0.27625,0
274,0,15.025,0.29625,0
275,0,14.9,0,0.04
276,0.372,11.9,0,1
277,1,11.8875,0.22625,0.89
278,0.421,12.0125,0.21625,1
279,0.456,13.925,0.29125,0.07
280,0.481,15.85,0,0.335
281,0,16.0875,0.20625,1
282,0,15.5875,0,0
283,0,16.2875,0,0
284,0.389,15.4625,0.2425,0.04
285,0.467,11.1375,0.20125,0.34
286,0,10.9625,0,0.73
287,0.409,12.0875,0,0.48
288,0.384,9.91250000000001,0,1
289,0.438,9.45000000000001,0,0.5
290,0,9.45000000000001,0.2125,0
291,0,9.30000000000001,0.20375,0
292,0,10.5,0.22375,0
293,0.539,12.9,0.2225,0
294,1,16.725,0.22875,0
295,1,18.9875,0.23125,0
296,0.49,17.8875,0,0
297,0,15.25,0,0.1
298,0,13.5375,0.21375,0.03
299,0,12.7,0,0.2
300,0.571,10.5375,0,1
301,0,13,0.2825,0
302,0,13.725,0,0.41
303,0,13.6375,0.21125,0.03
304,0,12.1625,0,0
305,0,12.1625,0,0
306,0,13.65,0.20375,0
307,0,14.975,0,0
308,0,12.05,0,0.58
309,0,9.88750000000001,0.2275,0.5
310,0,9.43750000000001,0,0
311,1,15.9125,0.245,0
312,1,16.8,0.215,0
313,0,14.75,0,0.04
314,0,15.6375,0,0
315,0,13.3875,0,0.03
316,0,11.1875,0,0
317,0,13.2375,0,0
318,0.414,14.425,0.2,0
319,0.479,15.6125,0.2025,0
320,0.403,16.2375,0,0.17
321,0,12.4,0,1
322,0,10.475,0.20625,0
323,0.426,13.3125,0.25,0
324,0,10.1375,0,0.28
325,0,8.17500000000002,0.25375,0
326,0,4.28750000000002,0,0
327,0,4.92500000000002,0.22375,0
328,0,5.07500000000003,0,0
329,0,7.06250000000001,0,0
330,0,11.3375,0,0
331,0.425,13.0625,0,0
332,0.485,14.075,0,0
333,0,12.425,0,0.16
