Jour;Vent > 45km/h;Temperature;Humidite < 60%;Pluie
1;0;11;0.2;0
2;0;9.06250000000002;0;0
3;0;10.4875;0;0.01
4;0.353;12.575;0;0.02
5;0;6.11250000000002;0;0
6;0;8.31250000000001;0;0
7;0;10.7375;0;0
8;0;10.8;0;0.08
9;0.459;13.75;0.20375;0
10;0.375;11.3375;0;0.585
11;0;8.52500000000002;0.20625;0
12;0;6.05000000000002;0;0
13;0;6.37500000000003;0;0
14;0.56;11.9875;0.2175;0
15;0.483;13.7625;0.23875;0
16;0.489;12.95;0;0
17;0.387;11.9;0;0.65
18;0;8.90000000000003;0.21;0.015
19;0;8.91250000000002;0.38875;0
20;0;5.17500000000002;0.2925;0
21;0;8.73750000000003;0.23125;0
22;0;11.9125;0;1
23;0.447;14.8125;0;1
24;0;13.25;0;0.02
25;0;12.5;0;0
26;0;11.1;0;0
27;0;8.66250000000002;0;0.145
28;0.396;11.6375;0;0.47
29;0;12.2875;0.21125;0.015
30;0;14.0875;0;0.415
31;0;15.6625;0;0.14
32;0;14.1125;0;0.44
33;0;16.85;0;0
34;0;15.8875;0.21875;0
35;0.561;13.85;0.2825;0.595
36;0;9.32500000000003;0.2625;0
37;0;8.93750000000001;0.225;0
38;0.412;12.8125;0.21375;0
39;0.381;13.4375;0.20875;0
40;0;13.4;0;0
41;0.396;16.0875;0;0
42;0.453;15.0125;0;0.035
43;0;12.7875;0.2225;0.18
44;0;12.7375;0.22375;0.06
45;0;13.775;0.245;0
46;0.37;12.175;0.2325;0
47;1;15.1;0;0
48;0.473;13.975;0;0.15
49;0;11.525;0.23875;0.005
50;0;11.5625;0.2375;0
51;0;11.8875;0.30125;0
52;0;10.8875;0;0
53;0;11;0.20625;0
54;0;11.5875;0;0
55;0;11.8;0.2025;0
56;0.517;12.9875;0.2125;0
57;0.566;10.7125;0;1
58;0.521;12.175;0;1
59;0;13.4;0;0.49
60;0.362;14.8;0;0.05
61;0;13.7625;0.25875;0.38
62;1;12.2875;0.2225;1
63;0.413;9.23750000000002;0;1
64;0;11.3625;0;1
65;0.448;13.6125;0;0.58
66;0.593;9.63750000000002;0;1
67;0.479;11.2;0.24;0.47
68;0;13.55;0.20625;0
69;0.558;12.5625;0;0.87
70;0.379;14.1375;0.21625;0.08
71;0;14.775;0.20875;0
72;0;14.3125;0;0.01
73;0;13.6;0.29375;0.945
74;0;11.525;0.30375;0
75;0.533;12.675;0.2425;0
76;0.481;14.875;0;0.235
77;0;15.275;0;0.175
78;0;16.65;0.27;0
79;0.403;17.1875;1;0
80;0.516;16.225;1;0
81;0.451;15.8125;0.385;0
82;0;15.975;0.33625;0
83;0.351;15.275;0.27875;0
84;0;14.575;0.325;0
85;0.402;13.5875;1;0
86;0;9.93750000000002;0.27;0
87;0;11.3875;0.35;0
88;0;14.8125;1;0
89;0.44;13.2375;0.3425;0
90;0;7.46250000000002;0.2125;0.02
91;0;11.7625;0.265;0
92;0.578;14.7375;0.33375;0
93;0;13.3;0.31875;0
94;0.379;13.725;0.4;0.04
95;0.351;14.3;1;0
96;1;17.725;1;0
