0,hour,main.humidity,main.temp,rain.1h,snow.1h,wind.speed
2021-01-01,00:05:22,93,4.45,0,0,2.6
2021-01-01,02:15:55,93,3.55,0,0,1
2021-01-01,03:19:16,100,3.55,0,0,0.5
2021-01-01,04:11:59,100,3.55,0,0,1
2021-01-01,05:06:38,100,4,0.91,0,2.6
2021-01-01,05:38:34,100,3.55,0.75,0,2.1
2021-01-01,06:07:44,93,3.55,0,0,2.6
2021-01-01,07:06:34,93,3.55,0,0,1.5
2021-01-01,08:02:11,93,3.55,0,0,2.1
2021-01-01,09:03:07,86,5,0,0,1.5
2021-01-01,10:01:51,86,5.45,0,0,3.1
2021-01-01,11:01:45,81,6.55,0,0,4.6
2021-01-01,12:01:25,75,6.55,0,0,4.1
2021-01-01,12:56:40,70,7.55,0,0,4.6
2021-01-01,14:01:13,81,6.55,0,0,2.6
2021-01-01,14:59:59,75,6.55,0,0,2.1
2021-01-01,15:59:43,86,4.55,0,0,8.2
2021-01-01,17:00:56,86,4.55,0,0,3.6
2021-01-01,18:00:25,86,3.66,0,0,1.5
2021-01-01,19:00:39,93,3.1,0,0,1.5
2021-01-01,19:56:39,93,3.55,0,0,1
2021-01-01,21:02:37,93,2.55,0,0,1.5
2021-01-01,22:02:32,93,2.1,0,0,1
2021-01-01,23:06:12,93,1.55,0,0,1.5
2021-01-02,00:14:05,100,1,0,0,1.5
2021-01-02,02:22:12,100,1.55,0,0,0.5
2021-01-02,03:26:50,93,2.55,0,0,1.5
2021-01-02,04:17:43,100,2,0,0,1.5
2021-01-02,05:08:28,100,2.55,0,0,3.6
2021-01-02,05:37:57,93,2.55,0,0,2.1
2021-01-02,06:07:17,93,2.55,0,0,2.1
2021-01-02,07:05:24,100,2,0,0,3.1
2021-01-02,08:02:58,86,1.45,0,0.1,4.1
2021-01-02,09:01:03,93,0,0,0,4.1
2021-01-02,10:00:56,90,0,0,0,2.6
2021-01-02,10:59:24,88,-0.45,0,0,4.1
2021-01-02,12:04:17,87,-0.45,0,0,2.6
2021-01-02,13:01:10,87,-0.45,0,0,2.6
2021-01-02,14:00:33,87,-0.45,0,0,3.1
2021-01-02,15:00:47,80,0.55,0,0,3.6
2021-01-02,16:00:54,80,0.1,0,0,3.1
2021-01-02,17:00:44,80,0.1,0,0,2.1
2021-01-02,18:00:46,80,0.1,0,0,2.6
2021-01-02,18:58:43,95,-0.45,0,0,2.1
2021-01-02,20:00:00,96,-0.45,0,0,2.6
2021-01-02,21:00:26,96,-0.45,0,0,1.5
2021-01-02,22:01:48,86,-1,0,0,1.94
2021-01-02,23:05:29,92,-1.55,0,0,0.5
2021-01-03,00:11:58,100,-2.45,0,0,1.5
2021-01-03,02:20:26,93,-0.45,0,0,2.1
2021-01-03,03:22:16,92,-1,0,0,1
2021-01-03,04:17:31,92,-1,0,0,1.5
2021-01-03,05:07:25,86,-1,0,0,2.6
2021-01-03,05:38:02,86,-1.55,0,0,0.5
2021-01-03,06:08:25,92,-2,0,0,2.11
2021-01-03,07:04:30,92,-2.9,0,0,1.5
2021-01-03,08:02:56,92,-1.45,0,0,2.1
2021-01-03,09:01:20,69,2.1,0,0,2.6
2021-01-03,10:02:16,60,4.1,0,0,2.6
2021-01-03,11:01:21,56,5.55,0,0,1.5
2021-01-03,12:01:50,52,7.1,0,0,1.5
2021-01-03,13:02:01,52,6.55,0,0,2.1
2021-01-03,14:02:03,81,7.1,0,0,3.1
2021-01-03,15:00:24,65,6.55,0,0,2.6
2021-01-03,15:56:40,75,5.1,0,0,2.1
2021-01-03,17:01:37,80,3.21,0,0,1.51
2021-01-03,18:00:16,86,3.21,0,0,2.1
2021-01-03,18:59:21,86,3.66,0,0,2.1
2021-01-03,20:00:36,93,3.1,0,0,1
2021-01-03,21:01:27,93,3.1,0,0,0.5
2021-01-03,22:02:13,93,2.1,0,0,1
2021-01-03,23:05:13,100,1.1,0,0,0.5
2021-01-04,00:11:30,100,1.1,0,0,1
2021-01-04,02:18:13,100,-0.35,0,0,2.6
2021-01-04,03:11:59,100,-0.34,0,0,1.5
2021-01-04,04:12:48,93,0.21,0,0,2.1
2021-01-04,05:02:08,93,0.66,0,0,1.5
2021-01-04,05:31:13,93,0.66,0,0,3.1
2021-01-04,06:04:46,93,0.66,0,0,2.6
2021-01-04,07:02:32,88,0.1,0,0,2.1
2021-01-04,08:02:18,93,1.1,0,0,2.1
2021-01-04,09:01:47,93,3,0,0,1.2
2021-01-04,10:01:00,86,4,0.4,0,1.5
2021-01-04,11:00:41,80,4.45,0,0,1
2021-01-04,12:01:13,86,4,0,0,2.6
2021-01-04,13:02:32,80,3.66,0,0,2.1
2021-01-04,14:01:49,86,3.55,0,0,1
2021-01-04,14:56:40,86,3.55,0,0,1.5
2021-01-04,15:56:39,93,2.55,0,0,3.6
2021-01-04,16:56:40,93,1.55,0.25,0,1
2021-01-04,18:00:55,100,1.55,0,0,1
2021-01-04,19:01:56,100,1.55,0.59,0,1.5
2021-01-04,20:01:22,93,2.1,0,0,1.5
2021-01-04,21:01:45,100,1.55,0.37,0,2.1
2021-01-04,22:03:49,93,2.1,0,0,1.5
2021-01-04,23:06:31,100,1.55,0,0.14,1
2021-01-05,00:16:00,100,1.55,0,0,1.5
2021-01-05,02:20:07,93,1.55,0,0,1.27
2021-01-05,03:22:07,93,1.55,0,0,1
2021-01-05,04:13:07,100,1.55,0,0,0.5
2021-01-05,05:01:07,100,1.55,0,0,0.5
2021-01-05,05:33:50,100,1.55,0,0,1.5
2021-01-05,06:05:21,100,1.55,0,0,2.6
2021-01-05,07:03:35,100,1.55,0,0,2.6
2021-01-05,08:03:29,100,1.55,0,0,2.1
2021-01-05,09:02:03,100,1.55,0,0,3.1
2021-01-05,10:03:05,93,1.55,0,0,1.5
2021-01-05,11:01:07,93,1.1,0,0,2.1
2021-01-05,12:02:06,82,1.66,0,0,2.1
2021-01-05,13:01:59,74,2.1,0,0,3.1
2021-01-05,14:02:11,80,2.1,0,0,3.1
2021-01-05,15:02:18,74,2.1,0,0,2.1
2021-01-05,16:01:46,92,2.1,0,0,2.1
2021-01-05,17:02:22,93,1.55,0,0,1.5
2021-01-05,18:02:58,97,1.55,0,0,1
2021-01-05,19:01:41,97,1.55,0,0,0.72
2021-01-05,20:01:20,96,1.55,0,0,1
2021-01-05,21:01:31,93,1.1,0,0,1
2021-01-05,22:02:25,93,1.1,0,0,1
2021-01-05,23:05:36,93,1.1,0,0,1
2021-01-06,00:11:59,93,0.55,0,0,0.5
2021-01-06,02:20:27,94,0.55,0,0,1
2021-01-06,03:23:25,96,0.55,0,0,1.5
2021-01-06,04:13:19,96,0.55,0,0,1
2021-01-06,05:03:19,96,0,0,0,2.1
2021-01-06,05:31:26,96,0,0,0,1.5
2021-01-06,06:05:10,100,-0.55,0,0,2.1
2021-01-06,07:02:48,100,-0.55,0,0,2.1
2021-01-06,08:01:46,91,-0.45,0,0,1.5
2021-01-06,08:56:39,80,2.1,0,0,2.6
2021-01-06,10:01:01,73,3.55,0,0,1.5
2021-01-06,11:02:06,60,5,0,0,2.6
2021-01-06,12:01:41,52,5.55,0,0,2.1
2021-01-06,13:03:04,52,6.1,0,0,2.1
2021-01-06,14:02:53,56,5.55,0,0,2.6
2021-01-06,15:05:56,52,5.1,0,0,3.1
2021-01-06,16:02:40,64,3.1,0,0,2.6
2021-01-06,17:03:21,74,2.55,0,0,2.6
2021-01-06,18:04:23,69,1.65,0,0,2.1
2021-01-06,19:02:09,69,0.75,0,0,1
2021-01-06,20:01:50,80,-0.35,0,0,1.5
2021-01-06,21:01:14,94,-1.35,0,0,1.5
2021-01-06,22:03:29,86,-2.35,0,0,1
2021-01-06,23:09:43,92,-2.9,0,0,0.5
2021-01-07,00:16:45,86,-3.25,0,0,1.5
2021-01-07,02:22:06,92,-3.9,0,0,1.5
2021-01-07,03:29:42,92,-3.9,0,0,1
2021-01-07,04:14:31,100,-4.9,0,0,1
2021-01-07,05:06:09,92,-4.9,0,0,1
2021-01-07,05:35:59,100,-4.45,0,0,1
2021-01-07,06:07:03,100,-4.45,0,0,1
2021-01-07,07:04:14,92,-4.9,0,0,1.5
2021-01-07,08:02:39,100,-4.45,0,0,1
2021-01-07,09:03:51,92,-2.45,0,0,1
2021-01-07,10:02:07,92,-1,0,0,1
2021-01-07,11:02:39,86,0.1,0,0,1.03
2021-01-07,12:02:49,70,1.65,0,0,3.09
2021-01-07,13:04:40,65,3.1,0,0,3.09
2021-01-07,14:04:34,60,3.1,0,0,4.12
2021-01-07,15:02:46,65,2.65,0,0,2.57
2021-01-07,16:03:21,65,1.65,0,0,1.03
2021-01-07,17:03:47,80,-0.9,0,0,1.03
2021-01-07,18:06:35,86,-1.45,0,0,1.54
2021-01-07,19:02:32,80,-2.35,0,0,1.54
2021-01-07,20:01:50,86,-2.9,0,0,1.54
2021-01-07,21:03:26,86,-3.35,0,0,1.03
2021-01-07,22:05:55,93,-3.35,0,0,1.03
2021-01-07,23:09:59,93,-3.9,0,0,1.03
2021-01-08,00:19:17,86,-2.9,0,0,1.03
2021-01-08,02:24:26,93,-5.35,0,0,1.54
2021-01-08,03:31:50,93,-5.45,0,0,1.03
2021-01-08,04:15:40,86,-4.9,0,0,2.06
2021-01-08,05:09:25,86,-4.9,0,0,1.54
2021-01-08,05:37:09,93,-5.45,0,0,1.03
2021-01-08,06:07:12,93,-5.45,0,0,1.54
2021-01-08,07:06:00,93,-5.45,0,0,1.03
2021-01-08,08:03:41,93,-4,0,0,1.54
2021-01-08,09:05:27,80,-1.1,0,0,1.54
2021-01-08,10:03:56,75,1,0,0,2.12
2021-01-08,11:03:02,75,2,0,0,1.54
2021-01-08,12:03:18,75,2.55,0,0,1.03
2021-01-08,13:04:56,56,4.1,0,0,4.12
2021-01-08,14:05:07,60,3.55,0,0,3.6
2021-01-08,15:04:04,65,3.1,0,0,2.57
2021-01-08,16:04:57,70,2.1,0,0,3.09
2021-01-08,17:04:30,75,1.55,0,0,2.06
2021-01-08,18:04:23,80,0.55,0,0,2.57
2021-01-08,19:04:42,86,0.55,0,0,3.09
2021-01-08,20:04:06,86,0.1,0,0,1.03
2021-01-08,21:04:47,93,-0.9,0,0,1.03
2021-01-08,22:07:28,93,-0.9,0,0,1.03
2021-01-08,23:11:15,93,-0.45,0,0,1.54
2021-01-09,00:18:29,93,-0.9,0,0,1.54
2021-01-09,02:24:18,93,-1.45,0,0,0.55
2021-01-09,03:33:06,100,-1.45,0,0,1.54
2021-01-09,04:18:56,93,-1.45,0,0,0.51
2021-01-09,05:12:16,93,-1.45,0,0,0.12
2021-01-09,05:36:41,93,-1.45,0,0,0.51
2021-01-09,06:10:33,93,-1.45,0,0,0.51
2021-01-09,07:07:40,93,-1.45,0,0,0.23
2021-01-09,08:04:49,100,-1,0,0,1.03
2021-01-09,09:04:32,100,-0.45,0,0,1.09
2021-01-09,10:04:49,93,0.1,0,0,1.54
2021-01-09,11:03:49,87,1.1,0,0,2.06
2021-01-09,12:04:52,93,0.55,0,0,2.57
2021-01-09,13:02:48,93,0.55,0,0,3.09
2021-01-09,14:04:39,93,0.55,0,0,2.57
2021-01-09,15:03:11,93,0.55,0,0,3.09
2021-01-09,16:03:19,93,0.55,0,0,2.57
2021-01-09,17:03:41,93,0.55,0,0.27,2.06
2021-01-09,18:03:56,93,0.55,0,0.4,1.54
2021-01-09,19:03:22,93,0.55,0,0.4,2.06
2021-01-09,20:02:54,93,0.55,0,0.28,1.03
2021-01-09,21:01:38,100,0,0,0.36,1.3
2021-01-09,22:04:07,100,-0.45,0,0.46,0.51
2021-01-09,23:11:45,93,0.55,0,0.24,1.03
2021-01-10,00:16:46,93,0.1,0,0.7,1.03
2021-01-10,02:23:58,100,-0.45,0,0,1.54
